Event #,PE,Event Date,Month,CY,Fiscal Month,Fiscal Year,Squadron,T/M/S,Buno,Class,PEAT Severity,HAZREP / WESS - RMI ID,MOFE 45 Due Date,MOFE 90 Due Date,Part A,Part B,Part C,Part D,Final Summary Report,Status,Category,Circumstances,Buno Occurances,ITEM,ITEM 2,ITEM 3, ALSS Issues,RECOMMENDATIONS,,
3,Yes,5/25/2010,5,2010,8,2010,VFA-81,F/A-18E,166832,HAZREP,Unknown,1275056111442,,,Yes,Yes,N/A,,N/A,Closed,AOS,CO Contamination,1,,,,,,,
2,Yes,6/1/2010,6,2010,9,2010,VFA-137,F/A-18E,165902,HAZREP,Moderate Low,1287977089678,,,Yes ,Yes,N/A,,N/A,Closed,Other,History of mask-off flying with OBOGS running,1,,,,,,,
1,Yes,6/8/2010,6,2010,9,2010,VFA-195,F/A-18C,164899,HAZREP,Unknown,1276004565895,,,Yes,Yes,N/A,,N/A,Closed,ECS,Failed RAM Servo Valve and RAM Check Valve,1,98,48A,4,,,,
4,Yes,6/15/2010,6,2010,9,2010,VFA-11,F/A-18F,166626,NA,Moderate Low,NA,,,Yes,N/A,N/A,,N/A,Closed,AOS,"Pilot Regulator Failed open, WSO hypoxic",1,,,,,,,
5,Yes,6/29/2010,6,2010,9,2010,VFA-37,F/A-18C,165203,NA,Minor,NA,,,Yes,Yes,N/A,,N/A,Closed,ECS,Seized Air Cycle Machine,1,5,,,,,,
6,Yes,7/8/2010,7,2010,10,2010,VX-23,F/A-18E,166421,HAZREP,Unknown,1279721689626,,,Yes,Yes,N/A,,N/A,Closed,ECS,Worn aft canopy seal,1,Canopy Seal,,,,,,
7,Yes,7/12/2010,7,2010,10,2010,VFA-106,F/A-18C,165184,NA,Moderate High,NA,,,Yes,N/A,N/A,,N/A,Closed,ECS,History of AV AIR DEGD,1,NA,,,,,,
8,Yes,7/13/2010,7,2010,10,2010,VMFA(AW)-121,F/A-18D,165414,NA,Minor,NA,,,Yes,Yes,N/A,,N/A,Closed,Other,Dual Bleeds and WSO was slow to get on EO2,1,2,,,,,,
9,Yes,7/22/2010,7,2010,10,2010,VX-9,F/A-18F,166925,NA,Unknown,NA,,,Yes,Yes,N/A,,N/A,Closed,Other,Inconclusive,1,,,,,,,
10,Yes,7/28/2010,7,2010,10,2010,VFA-137,F/A-18E,165906,NA,Minor,NA,,,Yes,N/A,N/A,,N/A,Closed,Other,History of mask-off flying with OBOGS running,1,,,,,,,
11,No,8/20/2010,8,2010,11,2010,VFA-122,F/A-18F,166461,NA,Minor,NA,,,Yes,Yes,N/A,,N/A,Closed,Other,OBOGS DEGD with NO SYMPTOMS,1,,,,,,,
22,Yes,8/30/2010,8,2010,11,2010,VFA-125,F/A-18C,163719,HAZREP,Severe,1287698111743,,,N/A,N/A,N/A,,N/A,Closed,ECS,CSV failed open / MAY BE CLASS C,1,36,,,,,,
12,Yes,8/31/2010,8,2010,11,2010,VMFA-323,F/A-18C,164727,HAZREP,Minor,1286912918834,,,Yes,Yes,N/A,,N/A,Closed,ECS,ECS Component Failure MSP 825,1,NA,,,,,,
13,Yes,9/10/2010,9,2010,12,2010,VMFA(AW)-121,F/A-18D,164672,NA,Minor,NA,,,Yes,Yes,N/A,,N/A,Closed,ECS,"ECS Component Failure; Surging
suggests unknown issue with ECS flow. 
Confirmed ECS Surging resolved on ground without definite cause.",1,NA,,,,,,
14,Yes,10/6/2010,10,2010,1,2011,VFA-113,F/A-18C,164242,HAZREP,Minor,NA,,,Yes,Yes,N/A,,N/A,Closed,Other,Inconclusive,1,NA,,,,,,
,No,10/18/2010,10,2010,1,2011,NTPS,T-6A,165963,HAZREP,,1288288879779,,,N/A,N/A,N/A,,N/A,Closed,ECS,Defog duct failed along seam / Canopy seal relief valve failed open,1,,,,,,,
15,Yes,10/25/2010,10,2010,1,2011,VFC-12,F/A-18C,164687,HAZREP,Minor,1287676606210,,,No,No,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
17,Yes,11/13/2010,11,2010,2,2011,NSAWC,F/A-18C,163746,HAZREP,Moderate Low,,,,No,No,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
16,Yes,12/5/2010,12,2010,3,2011,VFA-113,F/A-18C,164242,,Moderate Low,1293322886440,,,Yes,Yes,No,,N/A,Closed,ECS,ECS Component Failure,2,,,,,,,
18,Yes,12/13/2010,12,2010,3,2011,VFA-122,F/A-18F,166790,HAZREP,Minor,,,,Yes,Yes,No,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
23,Yes,12/29/2010,12,2010,3,2011,VFA-2,F/A-18F,165923,HAZREP,Severe,1292351907864,,,No,No,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
27,Yes,1/4/2011,1,2011,4,2011,VFA-192,F/A-18C,163996,HAZREP,Minor,1297888765492,,,No,No,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
21,Yes,1/10/2011,1,2011,4,2011,VFA-122,F/A-18F,165886,HAZREP,Minor,1295038825320,,,Yes,Yes,No,,N/A,Closed,Other,Inconclusive,1,,,,,,,
19,Yes,1/11/2011,1,2011,4,2011,VX-9,F/A-18F,166791,HAZREP,Minor,1295036221086,,,Yes,No,No,,N/A,Closed,AOS,Contamination,1,,,,,,,
26,Yes,1/11/2011,1,2011,4,2011,VFA-106,F/A-18F,165803,HAZREP,Moderate Low,,,,No,No,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
20,Yes,1/15/2011,1,2011,4,2011,VFA-81,F/A-18E,166831,,Moderate Low,1295178151828,,,Yes,Yes,No,,N/A,Closed,AOS,Contamination,1,,,,,,,
28,No,2/8/2011,2,2011,5,2011,VFA-115,F/A-18E,166869,HAZREP,Unknown,1298354545674,,,N/A,Yes,N/A,,N/A,Closed,Other,Non-Event,1,,,,,,,
